,var_assetsavg,var_assetturnover,var_bvps,var_cor,var_de,var_debtc,var_debtusd,var_divyield,var_ebit,var_ebitda,var_ebitdamargin,var_ev,var_grossmargin,var_invcapavg,var_investments,var_liabilities,var_liabilitiesnc,var_netmargin,var_opex,var_payoutratio,var_rnd,var_roe,var_roic,var_ros,var_shareswa,var_taxexp,var_tbvps,var_workingcapital
646,9.555191e-18,2.3369658,2.8750387e-07,1.9733775e-17,1.3900479e-05,4.286585e-17,1.06052984e-13,0.0,1.7271154e-16,1.1193948e-16,6.0331568e-06,2.0130139e-13,1.1524789,8.632811e-18,3.4567464e-18,8.2429425e-18,1.0906273e-20,3.7026748e-06,4.1720057e-16,0.0,0.0,0.0063784095,0.00023363718,4.0301697e-06,2.3243088e-11,2.2588276e-17,1.2706361e-07,1.7962927e-16
647,6.4956885e-17,0.06434377,5.608628e-07,0.0,8.9403395e-05,1.2923639e-18,3.2808042e-12,0.0,-3.2505033e-15,-1.2071326e-15,-0.00034177382,1.2935295e-12,4.4326115,1.0768082e-16,1.0234461e-15,1.3940271e-16,7.181757e-16,-0.00043562194,4.8077205e-15,0.0,1.7777879e-12,-0.046210926,-0.00035045578,-0.00039726603,3.1365587e-11,0.0,5.744007e-07,5.610181e-15
648,8.271606e-18,3.0293047,1.523047e-07,3.580825e-18,2.0893887e-05,0.0,0.0,0.0,1.6690238e-16,1.10568544e-16,5.3127796e-06,8.5104693e-13,3.900698,4.506727e-19,2.164895e-17,9.439163e-18,0.0,3.390401e-06,2.175062e-15,0.0,3.1460273e-13,0.009958129,0.0043032155,3.4414932e-06,3.3475705e-11,0.0,5.8796637e-08,3.0399234e-16
649,5.4338373e-19,6.2876735,1.813621e-07,2.203511e-18,3.2635904e-05,4.636143e-19,2.186609e-15,0.0,7.75904e-18,7.428073e-18,2.6113662e-06,5.7415082e-15,2.0390012,1.7525637e-19,0.0,8.3071624e-19,2.237572e-19,2.2751376e-06,1.6103347e-16,0.0,1.7726014e-14,0.014449051,0.00051495543,1.1773529e-06,1.5837421e-12,-1.8436588e-16,1.0516114e-07,2.630374e-17
650,8.164383e-18,2.3987358,3.6612334e-07,1.7803853e-17,1.4029985e-05,0.0,0.0,0.0,1.8940607e-16,8.72923e-17,5.3578033e-06,5.454829e-14,1.0593941,6.9263592e-18,0.0,6.763337e-18,1.8835943e-17,4.1487806e-06,4.6538897e-16,0.0,0.0,0.00761504,0.00031707904,5.0263916e-06,1.4850923e-11,5.2518018e-17,1.6176386e-07,3.7163343e-16
651,1.5659168e-17,3.459121,8.357569e-07,4.612233e-17,4.7313428e-05,1.2324413e-16,3.079678e-13,2.2412438,1.8419688e-16,1.7738234e-16,3.917049e-06,1.6109974e-13,1.2721595,1.3568132e-17,0.0,2.6811083e-17,2.557259e-17,9.814319e-07,1.446966e-15,0.21100345,0.0,0.0042305775,0.0001573475,1.7660294e-06,7.6496864e-12,1.2645786e-15,5.1275197e-07,1.1661808e-16
652,1.6420672e-17,2.9829774,8.1591014e-07,3.2927694e-17,2.5038129e-05,1.0216831e-16,2.5277125e-13,3.455251,1.9896121e-16,1.3277167e-16,3.2416958e-06,1.5895235e-13,1.9370512,1.05554615e-17,0.0,1.9777981e-17,9.144124e-19,8.922108e-07,2.0913282e-15,0.45186114,0.0,0.0024732607,0.00021933287,2.1282917e-06,1.09158915e-11,1.7116727e-15,3.4323634e-07,3.8054668e-16
653,5.114356e-18,1.1530404,1.0200796e-06,3.1503924e-18,5.7285513e-05,0.0,0.0,370.83246,-4.061976e-16,-1.6605083e-16,-3.390274e-05,-9.587353e-15,2.4468014,2.481257e-18,0.0,2.4217758e-18,0.0,-3.6580645e-05,1.122506e-15,-0.4913294,4.7946923e-14,-0.04894453,-0.0019024742,-3.5773417e-05,4.6751324e-13,-6.350534e-16,7.916338e-07,5.419927e-17
654,4.7156008e-17,2.4991121,3.5724165e-07,4.5197473e-17,1.5325062e-05,0.0,0.0,0.0,2.6941918e-16,2.5929632e-16,2.6563898e-06,1.7939246e-12,3.0097432,2.6674454e-17,3.7121984e-16,4.3948596e-17,3.266643e-17,8.4760023e-07,8.274815e-15,0.0,1.73586e-12,0.0016271453,0.00011681859,1.1773529e-06,9.054037e-11,1.6494804e-15,1.5477994e-07,3.0379732e-15
656,3.2192864e-17,3.016436,1.0501237e-06,3.823514e-17,1.2432725e-05,0.0,0.0,0.0,1.8994187e-15,8.951134e-16,1.1075795e-05,1.8359784e-12,2.9698498,1.7917078e-17,3.3659753e-17,2.4156645e-17,9.706107e-18,6.7361916e-06,4.785335e-15,0.0,4.3292404e-13,0.0147093935,0.0012325555,1.0143349e-05,2.084935e-11,1.4281446e-14,3.9716983e-07,1.3867867e-15
658,3.7965343e-17,7.0932574,9.524251e-07,2.8528152e-16,3.1470336e-05,1.5606749e-18,6.4388235e-13,1.5875478,1.7249556e-15,1.0542017e-15,4.7274734e-06,6.057827e-13,0.50088507,4.1318327e-17,0.0,5.367193e-17,1.8451841e-16,1.9182532e-06,1.1534192e-15,0.07792454,0.0,0.013928364,0.00048396274,3.3056447e-06,2.0199044e-11,1.4373353e-14,5.492074e-07,1.0926631e-15
662,7.553668e-18,1.1684829,6.7742144e-07,5.33761e-18,6.937289e-05,0.0,7.2367344e-14,0.0,-3.743769e-16,-1.1219098e-16,-1.530801e-05,5.435826e-14,2.1852775,1.4412821e-18,0.0,1.6550402e-17,4.9099658e-17,-3.4707e-05,1.1633437e-15,0.0,5.4172192e-14,-0.042501036,-0.003018211,-2.2052725e-05,3.974258e-12,1.1056425e-17,3.050624e-07,4.2995558e-17
